"Id";"DTime";"AHorizontal";"AVertical";"Frequency";"Amplitude";"Variance";"Snr"
135;"2024-02-07 11:35:13";0;0;1700;-49.4121;0.0175886;159.045
136;"2024-02-07 11:35:13";0;0;1700;-49.4066;0.0252155;165.714
137;"2024-02-07 11:35:13";0;0;1700;-49.4199;0.0341;169.746
138;"2024-02-07 11:35:13";0;0;1700;-49.4203;0.0402769;176.933
139;"2024-02-07 11:35:13";0;0;1700;-49.434;0.0353938;179.422
140;"2024-02-07 11:35:13";0;0;1700;-49.4275;0.0252973;177.113
141;"2024-02-07 11:35:13";0;0;1700;-49.4427;0.0322885;203.369
142;"2024-02-07 11:35:13";0;0;1700;-49.4447;0.0251164;212.656
143;"2024-02-07 11:35:13";0;0;1700;-49.4459;0.0267614;189.563
144;"2024-02-07 11:35:19";0;0;1800;-44.2447;0.0274125;197.709
145;"2024-02-07 11:35:19";0;0;1800;-44.2477;0.0214423;202.974
146;"2024-02-07 11:35:19";0;0;1800;-44.2428;0.0228901;216.91
147;"2024-02-07 11:35:19";0;0;1800;-44.2416;0.0205697;223.446
148;"2024-02-07 11:35:19";0;0;1800;-44.24;0.0213488;236.156
149;"2024-02-07 11:35:19";0;0;1800;-44.2419;0.0212416;241.95
150;"2024-02-07 11:35:19";0;0;1800;-44.2333;0.02092;249.835
151;"2024-02-07 11:35:19";0;0;1800;-44.2262;0.0180819;245.116
152;"2024-02-07 11:35:19";0;0;1800;-44.2269;0.0149665;262.332
153;"2024-02-07 11:35:19";0;0;1800;-44.2236;0.0175756;280.504
154;"2024-02-07 11:35:19";0;0;1800;-44.228;0.0162201;292.87
155;"2024-02-07 11:35:19";0;0;1800;-44.2327;0.0154623;282.6
156;"2024-02-07 11:35:19";0;0;1800;-44.2382;0.0203553;288.278
157;"2024-02-07 11:35:25";0;0;1900;-48.771;0.0247835;4.94019
158;"2024-02-07 11:35:25";0;0;1900;-48.7767;0.0205007;4.94897
159;"2024-02-07 11:35:25";0;0;1900;-48.7738;0.0199586;4.93623
160;"2024-02-07 11:35:25";0;0;1900;-48.783;0.0222406;4.9584
161;"2024-02-07 11:35:25";0;0;1900;-48.7845;0.0192745;4.97346
162;"2024-02-07 11:35:25";0;0;1900;-48.7822;0.0246278;4.93907
163;"2024-02-07 11:35:25";0;0;1900;-48.7868;0.0248516;4.9301
164;"2024-02-07 11:35:25";0;0;1900;-48.782;0.0240079;4.87137
165;"2024-02-07 11:35:25";0;0;1900;-48.7785;0.0249097;4.85508
166;"2024-02-07 11:35:25";0;0;1900;-48.7707;0.0277415;4.79505
167;"2024-02-07 11:35:25";0;0;1900;-48.7527;0.0256648;4.78808
168;"2024-02-07 11:35:25";0;0;1900;-48.7414;0.0225863;4.80505
169;"2024-02-07 11:35:25";0;0;1900;-48.7306;0.0204019;4.8389
170;"2024-02-07 11:35:31";0;0;2000;-51.9216;0.037331;137.657
171;"2024-02-07 11:35:31";0;0;2000;-51.9406;0.0462592;129.922
172;"2024-02-07 11:35:31";0;0;2000;-51.9359;0.0299607;132.106
173;"2024-02-07 11:35:31";0;0;2000;-51.9283;0.0393524;115.236
174;"2024-02-07 11:35:31";0;0;2000;-51.9393;0.0272038;121.345
175;"2024-02-07 11:35:31";0;0;2000;-51.9467;0.0357513;117.41
176;"2024-02-07 11:35:31";0;0;2000;-51.9697;0.0315139;122.166
177;"2024-02-07 11:35:31";0;0;2000;-51.9758;0.0325947;113.547
178;"2024-02-07 11:35:31";0;0;2000;-51.9923;0.0274276;121.841
179;"2024-02-07 11:35:31";0;0;2000;-51.9943;0.0264397;127.293
180;"2024-02-07 11:35:31";0;0;2000;-51.9957;0.0227489;145.381
181;"2024-02-07 11:35:32";0;0;2000;-51.9922;0.0298222;151.597
182;"2024-02-07 11:35:32";0;0;2000;-51.9864;0.0246843;151.467
183;"2024-02-07 11:35:38";0;0;2100;-56.4793;0.0320463;60.5807
184;"2024-02-07 11:35:38";0;0;2100;-56.4909;0.0334472;55.4181
185;"2024-02-07 11:35:38";0;0;2100;-56.5117;0.0388161;55.0383
186;"2024-02-07 11:35:38";0;0;2100;-56.5225;0.0449972;53.6498
187;"2024-02-07 11:35:38";0;0;2100;-56.5572;0.0472318;52.234
188;"2024-02-07 11:35:38";0;0;2100;-56.5365;0.0382879;56.815
189;"2024-02-07 11:35:38";0;0;2100;-56.5525;0.0395504;62.9834
190;"2024-02-07 11:35:38";0;0;2100;-56.5538;0.0490064;59.2345
191;"2024-02-07 11:35:38";0;0;2100;-56.5805;0.0412658;59.9001
192;"2024-02-07 11:35:38";0;0;2100;-56.6079;0.055474;59.7163
193;"2024-02-07 11:35:38";0;0;2100;-56.6219;0.0457387;60.7063
194;"2024-02-07 11:35:38";0;0;2100;-56.6193;0.0542393;60.1143
195;"2024-02-07 11:35:38";0;0;2100;-56.6133;0.056071;66.3114
196;"2024-02-07 11:35:44";0;0;2200;-32.2103;0.0184798;120.912
197;"2024-02-07 11:35:44";0;0;2200;-32.2116;0.0180689;123.386
198;"2024-02-07 11:35:44";0;0;2200;-32.2172;0.0169461;128.472
199;"2024-02-07 11:35:44";0;0;2200;-32.2211;0.0167958;125.892
200;"2024-02-07 11:35:44";0;0;2200;-32.2263;0.0146671;122.899
201;"2024-02-07 11:35:44";0;0;2200;-32.2351;0.0152096;132.598
202;"2024-02-07 11:35:44";0;0;2200;-32.2348;0.0155451;136.258
203;"2024-02-07 11:35:44";0;0;2200;-32.2342;0.0168377;131.512
204;"2024-02-07 11:35:44";0;0;2200;-32.2339;0.0162002;124.245
205;"2024-02-07 11:35:44";0;0;2200;-32.2327;0.0167727;124.059
206;"2024-02-07 11:35:44";0;0;2200;-32.2337;0.0147823;130.767
207;"2024-02-07 11:35:44";0;0;2200;-32.2361;0.013651;135.88
208;"2024-02-07 11:35:44";0;0;2200;-32.2243;0.013931;128.252
209;"2024-02-07 11:35:50";0;0;2300;-32.0912;0.0187567;129.591
210;"2024-02-07 11:35:50";0;0;2300;-32.0885;0.0169351;126.088
211;"2024-02-07 11:35:50";0;0;2300;-32.0786;0.0143496;128.279
212;"2024-02-07 11:35:50";0;0;2300;-32.0744;0.0120128;124.004
213;"2024-02-07 11:35:50";0;0;2300;-32.0659;0.0109327;129.494
214;"2024-02-07 11:35:50";0;0;2300;-32.0537;0.0106233;131.35
215;"2024-02-07 11:35:50";0;0;2300;-32.0422;0.013792;126.796
216;"2024-02-07 11:35:50";0;0;2300;-32.0377;0.0203272;125.559
217;"2024-02-07 11:35:50";0;0;2300;-32.0314;0.0271236;136.135
218;"2024-02-07 11:35:50";0;0;2300;-32.0272;0.02127;138.092
219;"2024-02-07 11:35:50";0;0;2300;-32.025;0.0158788;124.987
220;"2024-02-07 11:35:50";0;0;2300;-32.0293;0.0118188;125.056
221;"2024-02-07 11:35:50";0;0;2300;-32.0381;0.0117164;121.382
222;"2024-02-07 11:35:56";0;0;2400;-33.6453;0.0128359;149.929
223;"2024-02-07 11:35:56";0;0;2400;-33.6561;0.0141191;147.332
224;"2024-02-07 11:35:56";0;0;2400;-33.6584;0.0139772;143.588
225;"2024-02-07 11:35:56";0;0;2400;-33.6587;0.0161918;138.354
226;"2024-02-07 11:35:56";0;0;2400;-33.6547;0.0164647;141.307
227;"2024-02-07 11:35:56";0;0;2400;-33.6547;0.0181108;147.271
228;"2024-02-07 11:35:56";0;0;2400;-33.6531;0.0170322;144.352
229;"2024-02-07 11:35:56";0;0;2400;-33.6451;0.0165777;143.509
230;"2024-02-07 11:35:56";0;0;2400;-33.6371;0.0175401;147.151
231;"2024-02-07 11:35:56";0;0;2400;-33.6311;0.0167601;141.178
232;"2024-02-07 11:35:56";0;0;2400;-33.6236;0.0176871;140.304
233;"2024-02-07 11:35:56";0;0;2400;-33.6224;0.0173624;146.825
234;"2024-02-07 11:35:56";0;0;2400;-33.627;0.0169759;148.448
235;"2024-02-07 11:36:02";0;0;2500;-33.5955;0.0279348;130.927
236;"2024-02-07 11:36:02";0;0;2500;-33.5925;0.0334985;124.182
237;"2024-02-07 11:36:02";0;0;2500;-33.594;0.0268035;118.383
238;"2024-02-07 11:36:02";0;0;2500;-33.5913;0.020334;106.95
239;"2024-02-07 11:36:02";0;0;2500;-33.5934;0.0135144;107.868
240;"2024-02-07 11:36:02";0;0;2500;-33.6015;0.0119943;113.379
241;"2024-02-07 11:36:02";0;0;2500;-33.6077;0.0130095;109.647
242;"2024-02-07 11:36:02";0;0;2500;-33.6136;0.0142162;105.084
243;"2024-02-07 11:36:02";0;0;2500;-33.6148;0.0167825;107.19
244;"2024-02-07 11:36:02";0;0;2500;-33.6217;0.0179208;103.985
245;"2024-02-07 11:36:02";0;0;2500;-33.6178;0.0192811;103.641
246;"2024-02-07 11:36:02";0;0;2500;-33.6104;0.0178269;103.99
247;"2024-02-07 11:36:02";0;0;2500;-33.5996;0.0165773;105.819
248;"2024-02-07 11:36:08";0;0;2600;-33.8352;0.0153176;124.967
249;"2024-02-07 11:36:08";0;0;2600;-33.8243;0.0153558;116.403
250;"2024-02-07 11:36:08";0;0;2600;-33.8185;0.0159601;116.949
251;"2024-02-07 11:36:08";0;0;2600;-33.8111;0.0155463;118.381
252;"2024-02-07 11:36:08";0;0;2600;-33.8084;0.0112762;121.724
253;"2024-02-07 11:36:08";0;0;2600;-33.8058;0.0107192;120.261
254;"2024-02-07 11:36:08";0;0;2600;-33.8103;0.0143696;117.406
255;"2024-02-07 11:36:08";0;0;2600;-33.8133;0.0178592;125.808
256;"2024-02-07 11:36:08";0;0;2600;-33.82;0.0185562;119.064
257;"2024-02-07 11:36:08";0;0;2600;-33.827;0.0183865;123.266
258;"2024-02-07 11:36:08";0;0;2600;-33.8335;0.0169349;130.011
259;"2024-02-07 11:36:08";0;0;2600;-33.8416;0.0150191;130.379
260;"2024-02-07 11:36:08";0;0;2600;-33.847;0.0142284;134.346
261;"2024-02-07 11:36:14";0;0;2700;-33.402;0.0200485;136.239
262;"2024-02-07 11:36:14";0;0;2700;-33.3957;0.0183973;131.327
263;"2024-02-07 11:36:14";0;0;2700;-33.3876;0.0173059;135.822
264;"2024-02-07 11:36:14";0;0;2700;-33.378;0.0129003;143.632
265;"2024-02-07 11:36:14";0;0;2700;-33.3704;0.0111597;137.93
266;"2024-02-07 11:36:14";0;0;2700;-33.3622;0.0080581;134.805
267;"2024-02-07 11:36:15";0;0;2700;-33.3617;0.0120719;135.302
268;"2024-02-07 11:36:15";0;0;2700;-33.3645;0.0195524;138.385
269;"2024-02-07 11:36:15";0;0;2700;-33.3666;0.0191978;144.881
270;"2024-02-07 11:36:15";0;0;2700;-33.3655;0.0181376;149.936
271;"2024-02-07 11:36:15";0;0;2700;-33.3712;0.0163652;158.345
272;"2024-02-07 11:36:15";0;0;2700;-33.3789;0.0183849;163.396
273;"2024-02-07 11:36:15";0;0;2700;-33.3902;0.0149861;162.795
274;"2024-02-07 11:40:51";10;0;700;-52.2174;0.0359063;74.4881
275;"2024-02-07 11:40:51";10;0;700;-52.2301;0.0309783;79.3841
276;"2024-02-07 11:40:51";10;0;700;-52.2519;0.0429989;85.0795
277;"2024-02-07 11:40:51";10;0;700;-52.2712;0.0281624;84.1017
278;"2024-02-07 11:40:51";10;0;700;-52.2935;0.0298312;85.4138
279;"2024-02-07 11:40:51";10;0;700;-52.2997;0.0236499;93.3662
280;"2024-02-07 11:40:51";10;0;700;-52.3257;0.0367938;102.51
281;"2024-02-07 11:40:51";10;0;700;-52.3561;0.0359729;88.2424
282;"2024-02-07 11:40:51";10;0;700;-52.4029;0.0409202;86.0159
